id,error_type,buggy_code,fixed_code,notes
1,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
2,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
3,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
4,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
5,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
6,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
7,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
8,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
9,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
10,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
11,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
12,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
13,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
14,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
15,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
16,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
17,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
18,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
19,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
20,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
21,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
22,MissingColon,"while True
    pass
","while True:
    pass
",Missing colon at end of block
23,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
24,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
25,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
26,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
27,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
28,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
29,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
30,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
31,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
32,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
33,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
34,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
35,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
36,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
37,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
38,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
39,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
40,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
41,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
42,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
43,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
44,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
45,MissingColon,"while True
    pass
","while True:
    pass
",Missing colon at end of block
46,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
47,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
48,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
49,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
50,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
51,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
52,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
53,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
54,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
55,MissingColon,"while True
    pass
","while True:
    pass
",Missing colon at end of block
56,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
57,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
58,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
59,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
60,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
61,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
62,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
63,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
64,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
65,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
66,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
67,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
68,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
69,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
70,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
71,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
72,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
73,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
74,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
75,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
76,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
77,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
78,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
79,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
80,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
81,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
82,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
83,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
84,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
85,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
86,MissingColon,"while True
    pass
","while True:
    pass
",Missing colon at end of block
87,MissingColon,"with open('f') as f
    pass
","with open('f') as f:
    pass
",Missing colon at end of block
88,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
89,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
90,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
91,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
92,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
93,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
94,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
95,MissingColon,"elif x == 2
    pass
","elif x == 2:
    pass
",Missing colon at end of block
96,MissingColon,"class C()
    pass
","class C:
    pass
",Missing colon at end of block
97,MissingColon,"except Exception as e
    pass
","except Exception as e:
    pass
",Missing colon at end of block
98,MissingColon,"else
    pass
","else:
    pass
",Missing colon at end of block
99,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
100,MissingColon,"while True
    pass
","while True:
    pass
",Missing colon at end of block
101,MissingColon,"if x == 1
    pass
","if x == 1:
    pass
",Missing colon at end of block
102,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
103,MissingColon,"try
    pass
","try:
    pass
",Missing colon at end of block
104,MissingColon,"def func()
    pass
","def func():
    pass
",Missing colon at end of block
105,MissingColon,"for i in range(3)
    pass
","for i in range(3):
    pass
",Missing colon at end of block
106,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
107,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
108,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
109,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
110,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
111,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
112,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
113,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
114,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
115,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
116,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
117,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
118,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
119,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
120,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
121,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
122,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
123,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
124,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
125,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
126,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
127,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
128,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
129,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
130,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
131,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
132,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
133,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
134,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
135,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
136,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
137,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
138,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
139,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
140,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
141,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
142,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
143,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
144,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
145,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
146,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
147,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
148,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
149,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
150,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
151,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
152,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
153,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
154,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
155,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
156,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
157,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
158,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
159,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
160,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
161,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
162,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
163,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
164,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
165,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
166,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
167,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
168,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
169,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
170,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
171,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
172,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
173,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
174,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
175,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
176,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
177,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
178,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
179,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
180,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
181,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
182,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
183,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
184,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
185,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
186,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
187,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
188,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
189,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
190,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
191,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
192,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
193,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
194,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
195,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
196,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
197,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
198,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
199,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
200,UnmatchedBracket,"data = {'x': [1,2,3}
","data = {'x': [1,2,3]}
",Bracket mismatch or missing/extra bracket
201,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
202,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
203,UnmatchedBracket,"print('hello'
","print('hello')
",Bracket mismatch or missing/extra bracket
204,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
205,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
206,UnmatchedBracket,"d = {'a':1)
","d = {'a':1}
",Bracket mismatch or missing/extra bracket
207,UnmatchedBracket,"a = (1,2,3
","a = (1,2,3)
",Bracket mismatch or missing/extra bracket
208,UnmatchedBracket,"call(1,2,3))
","call(1,2,3)
",Bracket mismatch or missing/extra bracket
209,UnmatchedBracket,"arr = [1,2,3]]
","arr = [1,2,3]
",Bracket mismatch or missing/extra bracket
210,UnmatchedBracket,"lst = [1,2,3
","lst = [1,2,3]
",Bracket mismatch or missing/extra bracket
211,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
212,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
213,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
214,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
215,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
216,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
217,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
218,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
219,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
220,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
221,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
222,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
