id,error_type,buggy_code,fixed_code,notes
223,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
224,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
225,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
226,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
227,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
228,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
229,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
230,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
231,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
232,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
233,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
234,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
235,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
236,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
237,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
238,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
239,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
240,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
241,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
242,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
243,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
244,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
245,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
246,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
247,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
248,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
249,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
250,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
251,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
252,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
253,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
254,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
255,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
256,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
257,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
258,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
259,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
260,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
261,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
262,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
263,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
264,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
265,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
266,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
267,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
268,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
269,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
270,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
271,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
272,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
273,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
274,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
275,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
276,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
277,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
278,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
279,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
280,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
281,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
282,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
283,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
284,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
285,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
286,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
287,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
288,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
289,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
290,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
291,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
292,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
293,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
294,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
295,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
296,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
297,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
298,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
299,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
300,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
301,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
302,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
303,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
304,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
305,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
306,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
307,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
308,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
309,IndentationError,"class A:
def __init__(self):
        pass
","class A:
    def __init__(self):
        pass
",Wrong/unexpected indentation
310,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
311,IndentationError,"def g():
    a=1
      b=2
","def g():
    a=1
    b=2
",Wrong/unexpected indentation
312,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
313,IndentationError,"if True:
  x=1
 y=2
","if True:
    x=1
    y=2
",Wrong/unexpected indentation
314,IndentationError,"def f():
print('hi')
","def f():
    print('hi')
",Wrong/unexpected indentation
315,IndentationError,"for i in range(2):
print(i)
","for i in range(2):
    print(i)
",Wrong/unexpected indentation
316,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
317,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
318,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
319,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
320,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
321,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
322,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
323,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
324,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
325,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
326,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
327,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
328,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
329,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
330,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
331,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
332,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
333,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
334,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
335,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
336,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
337,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
338,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
339,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
340,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
341,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
342,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
343,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
344,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
345,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
346,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
347,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
348,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
349,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
350,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
351,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
352,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
353,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
354,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
355,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
356,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
357,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
358,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
359,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
360,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
361,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
362,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
363,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
364,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
365,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
366,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
367,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
368,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
369,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
370,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
371,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
372,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
373,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
374,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
375,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
376,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
377,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
378,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
379,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
380,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
381,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
382,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
383,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
384,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
385,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
386,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
387,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
388,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
389,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
390,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
391,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
392,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
393,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
394,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
395,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
396,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
397,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
398,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
399,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
400,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
401,UnclosedQuotes,"s = ""hello
print(s)
","s = ""hello""
print(s)
",Unclosed or malformed string literal
402,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
403,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
404,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
405,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
406,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
407,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
408,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
409,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
410,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
411,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
412,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
413,UnclosedQuotes,"a = 'abc
b='c'
","a = 'abc'
",Unclosed or malformed string literal
414,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
415,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
416,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
417,UnclosedQuotes,"text = '''multi
line
","text = '''multi
line
'''
",Unclosed or malformed string literal
418,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
419,UnclosedQuotes,"msg = ""He said ""hi""
","msg = ""He said \""hi\""""
",Unclosed or malformed string literal
420,UnclosedQuotes,"name = 'Satyam
print(name)
","name = 'Satyam'
print(name)
",Unclosed or malformed string literal
